Collection,Volume,24 hs %,7 d %,Floor,Owners,Items,Category,Chain,Crypto,Is +1 category?,Marketplace,Twitter followers,Volume (USD),Floor (USD)
META CATS V1,1822382,0.4034,0.0556,30,1300,10000,Art,Klaytn,KLAY,0,,10200,772689.968,12.72
renaissance-nft,1732556,,-0.7041,448,715,3100,Art,Klaytn,KLAY,0,,1775,734603.744,189.952
CYE ChuchuCAT V0,120784165,,-0.5456,160,1000,3500,Art,Klaytn,KLAY,0,,7364,51212485.96,67.84
KlayDogesFriend,301723,,-1,,1100,4100,Art,Klaytn,KLAY,0,,11800,127930.552,0
Project Spoon DAO,294381,,1.095,45,1300,10000,Art,Klaytn,KLAY,0,,4629,124817.544,19.08
THE META KONGZ KLAYTN,35746038,-0.5503,-0.1007,11700,2000,6200,Collectibles,Klaytn,KLAY,0,,81800,15156320.11,4960.8
Meta Toy DragonZ,18732760,1.4847,0.0742,1763,2800,9800,Collectibles,Klaytn,KLAY,0,,16800,7942690.24,747.512
Mutant Kongz & G.rilla Official,17683610,-0.2835,0.0612,870,6100,19500,Collectibles,Klaytn,KLAY,0,,11300,7497850.64,368.88
DSC | DIGITAL IDENTITY,10367927,-1,0.2,280,1800,10000,Collectibles,Klaytn,KLAY,0,,17200,4396001.048,118.72
"Meta Adventure, frozen",6077814,,,4,3400,10000,Collectibles,Klaytn,KLAY,0,,11400,2576993.136,1.696
,,,,,,,Domain Names,Klaytn,KLAY,0,,,0,0
,,,,,,,Domain Names,Klaytn,KLAY,0,,,0,0
,,,,,,,Domain Names,Klaytn,KLAY,0,,,0,0
,,,,,,,Domain Names,Klaytn,KLAY,0,,,0,0
,,,,,,,Domain Names,Klaytn,KLAY,0,,,0,0
[TREASURES CLUB x SEOBOBIN] YOU ARE THE TREASURE,1710,,-0.3177,57,351,600,Music,Klaytn,KLAY,0,,,725.04,24.168
Strange Sound Club,1170,,,60,11,31,Music,Klaytn,KLAY,0,,1705,496.08,25.44
Lil 9ap - Limatic,259,-1,,,93,1,Music,Klaytn,KLAY,0,,,109.816,0
SQUARE Records,84,,,,8,20,Music,Klaytn,KLAY,0,,129,35.616,0
Kwani Studio,14,,,,2,2,Music,Klaytn,KLAY,0,,,5.936,0
Dragonsky,1808,,-1,15,68,294,Photography,Klaytn,KLAY,0,,3837,766.592,6.36
Dragonsky Collaboration,781,,,,6,15,Photography,Klaytn,KLAY,0,,3837,331.144,0
the hami flowers,247,,-1,10,10,27,Photography,Klaytn,KLAY,0,,19,104.728,4.24
Dragonsky Edition,147,,,0.2,1100,15,Photography,Klaytn,KLAY,0,,3837,62.328,0.0848
byThere,129,,,,10,14,Photography,Klaytn,KLAY,0,,297,54.696,0
ProjectWITH,5363,,,500,9,18,Sports,Klaytn,KLAY,0,,1682,2273.912,212
StatNFT,3208,,,4,117,960,Sports,Klaytn,KLAY,0,,1529,1360.192,1.696
SNKRZ NFT,1492,,,490,4,70,Sports,Klaytn,KLAY,0,,39000,632.608,207.76
TEAMKOREA HOHO,1381,,,3,363,3000,Sports,Klaytn,KLAY,0,,,585.544,1.272
yamfers junior,14,,,4,203,431,Sports,Klaytn,KLAY,0,,,5.936,1.696
SYLTARE-OFFICIAL,12799856,,-1,3290,2300,9400,Trading Cards,Klaytn,KLAY,0,,19900,5427138.944,1394.96
"SYLTARE, Frozen",4483893,,,1000,2500,9100,Trading Cards,Klaytn,KLAY,0,,19900,1901170.632,424
ArcheWorld_FandomCard,1417233,0.0477,,580,735,2200,Trading Cards,Klaytn,KLAY,0,,13000,600906.792,245.92
